Number of Iterations,Reward,Lost Data
64.0,-82.98269531,124.990918
65.0,-87.46671875,135.524707
66.0,-83.27732422,124.9889648
67.0,-139.4775977,283.3583008
68.0,-138.6024219,281.3546875
69.0,-136.3410938,275.2545898
70.0,-135.7701172,272.9360352
71.0,-134.5362695,270.1260742
72.0,-134.0451367,268.9324219
73.0,-133.7932227,268.1292969
74.0,-131.8574609,262.6612305
75.0,-129.7570508,257.6604492
76.0,-128.4795117,253.6243164
77.0,-128.457832,254.3733398
78.0,-128.1788477,252.6602539
79.0,-126.6238281,248.3686523
80.0,-126.2438086,248.5697266
81.0,-122.7020117,238.4041992
82.0,-123.4008008,239.9387695
83.0,-121.7513867,236.0422852
84.0,-119.4087305,228.9576172
85.0,-120.6599609,232.9926758
86.0,-118.5638086,227.0943359
87.0,-116.1980859,221.2691406
88.0,-115.6840039,218.8914063
89.0,-116.179668,220.5382813
90.0,-113.5570898,213.8719727
91.0,-113.1037109,212.3344727
92.0,-112.3221875,209.430957
93.0,-110.404082,204.5929687
94.0,-109.3956055,201.6005859
95.0,-182.1967773,383.7158203
96.0,-138.8368555,281.8296875
97.0,-138.19625,280.5956055
98.0,-137.0275586,276.884082
99.0,-136.2030273,273.7973633
100.0,-133.9725,268.5103516
101.0,-134.6954492,270.2408203
102.0,-131.0202148,260.2519531
103.0,-130.8314453,260.027832
104.0,-129.2362305,255.484375
105.0,-128.104668,252.7238281
106.0,-126.1061719,247.7727539
107.0,-126.1223828,247.1150391
108.0,-123.2291406,239.4620117
109.0,-122.7809961,237.8545898
110.0,-121.3738672,234.2598633
111.0,-121.0328125,232.965332
112.0,-118.9441797,228.1905273
113.0,-117.0461914,222.1455078
114.0,-115.0840625,217.1095703
115.0,-115.4196484,217.6140625
116.0,-114.2944336,214.597168
117.0,-110.4075977,204.8385742
118.0,-111.545625,207.0842773
119.0,-111.6778711,207.0572266
120.0,-109.8772656,202.7888672
121.0,-109.5689063,201.2733398
122.0,-107.6358398,196.2880859
123.0,-106.6804688,193.6079102
124.0,-107.7883594,195.3961914
125.0,-104.216582,186.4972656
126.0,-103.2430273,184.1488281
127.0,-103.1884961,183.1995117
128.0,-103.6745898,184.1583984
129.0,-101.1879102,177.7219727
130.0,-100.5021875,176.3213867
131.0,-102.1424805,180.0742188
132.0,-99.52099609,173.2104492
133.0,-98.33335938,169.9666992
134.0,-98.06630859,169.46875
135.0,-97.34183594,166.2354492
136.0,-97.55513672,166.6283203
137.0,-94.60001953,158.7668945
138.0,-91.49796875,150.7712891
139.0,-91.99558594,151.4147461
140.0,-93.27333984,154.5932617
141.0,-91.10042969,148.380957
142.0,-88.91558594,143.0213867
143.0,-90.85896484,147.3
144.0,-88.45429688,140.5986328
145.0,-87.90992188,138.5223633
146.0,-89.60115234,142.7174805
147.0,-89.62208984,143.5217773
148.0,-86.26837891,134.5662109
149.0,-85.51021484,131.9945313
150.0,-86.84103516,134.6038086
151.0,-84.39644531,128.6229492
152.0,-87.57292969,136.1808594
153.0,-83.59304688,125.9943359
154.0,-84.03390625,126.7253906
155.0,-82.96191406,123.6743164
156.0,-139.0517383,281.9347656
157.0,-138.5969336,281.2323242
158.0,-136.6208594,275.8270508
159.0,-137.7910742,279.0174805
160.0,-136.0027148,274.4245117
161.0,-135.8501172,273.5852539
162.0,-134.2402148,269.2199219
163.0,-134.8562305,270.8698242
164.0,-133.7303906,268.3787109
165.0,-234.0324414,518.9421875
166.0,-245.5319141,546.9523438
167.0,-131.9275,263.3514648
168.0,-129.9963086,258.1658203
169.0,-131.4637305,262.2469727
170.0,-128.6552148,254.2442383
171.0,-129.0213477,255.6527344
172.0,-126.4227344,248.6398438
173.0,-127.8724805,251.7820313
174.0,-126.0308789,247.0852539
175.0,-125.5998828,245.7331055
176.0,-125.184668,245.1625977
177.0,-125.2164844,245.1505859
178.0,-223.9345117,491.8833984
179.0,-124.4070703,242.9683594
180.0,-122.923125,239.0900391
181.0,-121.450625,235.0743164
182.0,-122.7805469,238.7018555
183.0,-119.4730078,229.8861328
184.0,-119.8384375,230.8363281
185.0,-119.924707,231.512207
186.0,-117.7729297,225.3039063
187.0,-118.8931055,227.4756836
188.0,-117.4103906,224.5464844
189.0,-116.2917188,221.2395508
190.0,-116.502207,221.6961914
191.0,-117.8231055,225.2376953
192.0,-115.0824805,218.1175781
193.0,-116.314668,220.8831055
194.0,-114.5736719,216.55625
195.0,-112.7522461,211.3862305
196.0,-111.6947852,208.3592773
197.0,-111.0573047,206.8961914
198.0,-109.3208984,201.9130859
199.0,-110.2773438,204.609375
200.0,-110.1184375,204.0973633
201.0,-110.018125,203.5560547
202.0,-109.9838672,203.6095703
203.0,-109.5250391,202.5088867
204.0,-107.4955273,196.4548828
205.0,-106.0382422,192.803125
206.0,-106.7146289,194.7370117
207.0,-108.3570508,198.9895508
208.0,-106.4748438,194.2046875
209.0,-105.6512109,191.9356445
210.0,-139.2671094,282.5671875
211.0,-138.4326367,280.6287109
212.0,-138.9464844,281.5874023
213.0,-137.0125977,276.9125977
214.0,-134.7779102,270.8473633
215.0,-135.1453711,271.6585938
216.0,-132.3078125,264.4194336
217.0,-132.5424219,265.2330078
218.0,-130.2469922,258.3079102
219.0,-129.8125195,257.0081055
220.0,-129.3932227,256.4432617
221.0,-126.9253711,249.7951172
222.0,-125.913418,247.3775391
223.0,-124.753125,244.0068359
224.0,-122.1203125,236.4702148
225.0,-122.6788867,238.0558594
226.0,-121.4660547,234.1241211
227.0,-121.2600781,234.6248047
228.0,-118.4355469,227.1289063
229.0,-215.2037109,468.2387695
230.0,-118.3671289,226.3951172
231.0,-116.7772656,222.6755859
232.0,-115.4169531,218.0418945
233.0,-113.4449023,213.2204102
234.0,-113.4390625,213.0800781
235.0,-112.2834766,209.8053711
236.0,-112.6683789,210.2097656
237.0,-108.8786914,200.5255859
238.0,-108.1091602,198.1330078
239.0,-105.4619922,191.2697266
240.0,-104.7192969,188.8416992
241.0,-102.9632031,183.7117188
242.0,-103.3188086,183.9623047
243.0,-99.81402344,174.9964844
244.0,-100.6685742,176.9924805
245.0,-99.46191406,173.7890625
246.0,-204.0710938,435.043457
247.0,-100.3086523,175.0746094
248.0,-93.38105469,157.5957031
249.0,-97.70958984,168.1594727
250.0,-95.42458984,161.8415039
251.0,-95.86060547,162.6825195
252.0,-96.17195313,163.327832
253.0,-95.45746094,160.9483398
254.0,-95.65384766,161.5381836
